ip,blnk,host,object_class,domain,,,,,,,,,,,,int,int_desc
10.72.75.251,,aup-adm-01-a-asw-003_vl1075,switch,pfizer.com,,,,,,,,,,,,Vl1075,
10.72.76.251,,aup-adm-01-a-asw-003_vl1076,switch,pfizer.com,,,,,,,,,,,,Vl1076,
10.72.77.251,,aup-adm-01-a-asw-003_vl1077,switch,pfizer.com,,,,,,,,,,,,Vl1077,
10.72.96.251,,aup-adm-01-a-asw-003_vl2096,switch,pfizer.com,,,,,,,,,,,,Vl2096,
10.72.97.251,,aup-adm-01-a-asw-003_vl2097,switch,pfizer.com,,,,,,,,,,,,Vl2097,
10.72.98.251,,aup-adm-01-a-asw-003_vl2098,switch,pfizer.com,,,,,,,,,,,,Vl2098,
10.72.99.251,,aup-adm-01-a-asw-003_vl2099,switch,pfizer.com,,,,,,,,,,,,Vl2099,
10.72.100.251,,aup-adm-01-a-asw-003_vl2100,switch,pfizer.com,,,,,,,,,,,,Vl2100,
10.72.101.251,,aup-adm-01-a-asw-003_vl2101,switch,pfizer.com,,,,,,,,,,,,Vl2101,
10.72.102.251,,aup-adm-01-a-asw-003_vl2102,switch,pfizer.com,,,,,,,,,,,,Vl2102,
10.72.103.251,,aup-adm-01-a-asw-003_vl2103,switch,pfizer.com,,,,,,,,,,,,Vl2103,
10.72.104.251,,aup-adm-01-a-asw-003_vl2104,switch,pfizer.com,,,,,,,,,,,,Vl2104,
10.72.105.251,,aup-adm-01-a-asw-003_vl2105,switch,pfizer.com,,,,,,,,,,,,Vl2105,
10.72.106.251,,aup-adm-01-a-asw-003_vl2106,switch,pfizer.com,,,,,,,,,,,,Vl2106,
10.72.107.251,,aup-adm-01-a-asw-003_vl2107,switch,pfizer.com,,,,,,,,,,,,Vl2107,
10.72.108.251,,aup-adm-01-a-asw-003_vl2108,switch,pfizer.com,,,,,,,,,,,,Vl2108,
10.72.109.251,,aup-adm-01-a-asw-003_vl2109,switch,pfizer.com,,,,,,,,,,,,Vl2109,
10.72.144.251,,aup-adm-01-a-asw-003_vl2144,switch,pfizer.com,,,,,,,,,,,,Vl2144,
10.72.145.251,,aup-adm-01-a-asw-003_vl2145,switch,pfizer.com,,,,,,,,,,,,Vl2145,
10.72.146.251,,aup-adm-01-a-asw-003_vl2146,switch,pfizer.com,,,,,,,,,,,,Vl2146,
10.72.147.251,,aup-adm-01-a-asw-003_vl2147,switch,pfizer.com,,,,,,,,,,,,Vl2147,
10.72.148.251,,aup-adm-01-a-asw-003_vl2148,switch,pfizer.com,,,,,,,,,,,,Vl2148,
10.72.149.251,,aup-adm-01-a-asw-003_vl2149,switch,pfizer.com,,,,,,,,,,,,Vl2149,
10.72.150.251,,aup-adm-01-a-asw-003_vl2150,switch,pfizer.com,,,,,,,,,,,,Vl2150,
10.72.151.251,,aup-adm-01-a-asw-003_vl2151,switch,pfizer.com,,,,,,,,,,,,Vl2151,
10.72.152.251,,aup-adm-01-a-asw-003_vl2152,switch,pfizer.com,,,,,,,,,,,,Vl2152,
10.72.153.251,,aup-adm-01-a-asw-003_vl2153,switch,pfizer.com,,,,,,,,,,,,Vl2153,
10.72.154.251,,aup-adm-01-a-asw-003_vl2154,switch,pfizer.com,,,,,,,,,,,,Vl2154,
10.72.155.251,,aup-adm-01-a-asw-003_vl2155,switch,pfizer.com,,,,,,,,,,,,Vl2155,
172.22.134.253,,aup-adm-01-a-asw-003_vl3206,switch,pfizer.com,,,,,,,,,,,,Vl3206,
10.72.255.248,,aup-adm-01-a-asw-003,Loopback,pfizer.com,,,,,,,,,,,,Lo0,
3.3.3.1,,aup-adm-01-a-asw-003_po31,switch,pfizer.com,,,,,,,,,,,,Po31,
10.72.253.34,,aup-adm-01-a-asw-003_eth3_32,switch,pfizer.com,,,,,,,,,,,,Eth3_32,
10.72.253.42,,aup-adm-01-a-asw-003_eth4_32,switch,pfizer.com,,,,,,,,,,,,Eth4_32,
10.72.254.102,,aup-int-01-a-asw-003_vl100,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.0.252,,aup-int-01-a-asw-003_vl1010,switch,pfizer.com,,,,,,,,,,,,Vl1010,
10.72.1.252,,aup-int-01-a-asw-003_vl1011,switch,pfizer.com,,,,,,,,,,,,Vl1011,
10.72.2.252,,aup-int-01-a-asw-003_vl1012,switch,pfizer.com,,,,,,,,,,,,Vl1012,
10.72.3.252,,aup-int-01-a-asw-003_vl1013,switch,pfizer.com,,,,,,,,,,,,Vl1013,
10.72.4.252,,aup-int-01-a-asw-003_vl1014,switch,pfizer.com,,,,,,,,,,,,Vl1014,
10.72.5.252,,aup-int-01-a-asw-003_vl1015,switch,pfizer.com,,,,,,,,,,,,Vl1015,
10.72.6.252,,aup-int-01-a-asw-003_vl1016,switch,pfizer.com,,,,,,,,,,,,Vl1016,
10.72.7.252,,aup-int-01-a-asw-003_vl1017,switch,pfizer.com,,,,,,,,,,,,Vl1017,
10.72.8.252,,aup-int-01-a-asw-003_vl1018,switch,pfizer.com,,,,,,,,,,,,Vl1018,
10.72.9.252,,aup-int-01-a-asw-003_vl1019,switch,pfizer.com,,,,,,,,,,,,Vl1019,
10.72.10.252,,aup-int-01-a-asw-003_vl1020,switch,pfizer.com,,,,,,,,,,,,Vl1020,
10.72.11.252,,aup-int-01-a-asw-003_vl1021,switch,pfizer.com,,,,,,,,,,,,Vl1021,
10.72.56.252,,aup-int-01-a-asw-003_vl1056,switch,pfizer.com,,,,,,,,,,,,Vl1056,
10.72.64.252,,aup-int-01-a-asw-003_vl1064,switch,pfizer.com,,,,,,,,,,,,Vl1064,
10.72.65.252,,aup-int-01-a-asw-003_vl1065,switch,pfizer.com,,,,,,,,,,,,Vl1065,
10.72.66.252,,aup-int-01-a-asw-003_vl1066,switch,pfizer.com,,,,,,,,,,,,Vl1066,
10.72.67.252,,aup-int-01-a-asw-003_vl1067,switch,pfizer.com,,,,,,,,,,,,Vl1067,
10.72.68.252,,aup-int-01-a-asw-003_vl1068,switch,pfizer.com,,,,,,,,,,,,Vl1068,
10.72.69.252,,aup-int-01-a-asw-003_vl1069,switch,pfizer.com,,,,,,,,,,,,Vl1069,
10.72.70.252,,aup-int-01-a-asw-003_vl1070,switch,pfizer.com,,,,,,,,,,,,Vl1070,
10.72.71.252,,aup-int-01-a-asw-003_vl1071,switch,pfizer.com,,,,,,,,,,,,Vl1071,
10.72.72.252,,aup-int-01-a-asw-003_vl1072,switch,pfizer.com,,,,,,,,,,,,Vl1072,
10.72.73.252,,aup-int-01-a-asw-003_vl1073,switch,pfizer.com,,,,,,,,,,,,Vl1073,
10.72.74.252,,aup-int-01-a-asw-003_vl1074,switch,pfizer.com,,,,,,,,,,,,Vl1074,
10.72.75.252,,aup-int-01-a-asw-003_vl1075,switch,pfizer.com,,,,,,,,,,,,Vl1075,
10.72.76.252,,aup-int-01-a-asw-003_vl1076,switch,pfizer.com,,,,,,,,,,,,Vl1076,
10.72.77.252,,aup-int-01-a-asw-003_vl1077,switch,pfizer.com,,,,,,,,,,,,Vl1077,
10.72.96.252,,aup-int-01-a-asw-003_vl2096,switch,pfizer.com,,,,,,,,,,,,Vl2096,
10.72.97.252,,aup-int-01-a-asw-003_vl2097,switch,pfizer.com,,,,,,,,,,,,Vl2097,
10.72.98.252,,aup-int-01-a-asw-003_vl2098,switch,pfizer.com,,,,,,,,,,,,Vl2098,
10.72.99.252,,aup-int-01-a-asw-003_vl2099,switch,pfizer.com,,,,,,,,,,,,Vl2099,
10.72.100.252,,aup-int-01-a-asw-003_vl2100,switch,pfizer.com,,,,,,,,,,,,Vl2100,
10.72.101.252,,aup-int-01-a-asw-003_vl2101,switch,pfizer.com,,,,,,,,,,,,Vl2101,
10.72.102.252,,aup-int-01-a-asw-003_vl2102,switch,pfizer.com,,,,,,,,,,,,Vl2102,
10.72.103.252,,aup-int-01-a-asw-003_vl2103,switch,pfizer.com,,,,,,,,,,,,Vl2103,
10.72.104.252,,aup-int-01-a-asw-003_vl2104,switch,pfizer.com,,,,,,,,,,,,Vl2104,
10.72.105.252,,aup-int-01-a-asw-003_vl2105,switch,pfizer.com,,,,,,,,,,,,Vl2105,
10.72.106.252,,aup-int-01-a-asw-003_vl2106,switch,pfizer.com,,,,,,,,,,,,Vl2106,
10.72.107.252,,aup-int-01-a-asw-003_vl2107,switch,pfizer.com,,,,,,,,,,,,Vl2107,
10.72.108.252,,aup-int-01-a-asw-003_vl2108,switch,pfizer.com,,,,,,,,,,,,Vl2108,
10.72.109.252,,aup-int-01-a-asw-003_vl2109,switch,pfizer.com,,,,,,,,,,,,Vl2109,
10.72.144.252,,aup-int-01-a-asw-003_vl2144,switch,pfizer.com,,,,,,,,,,,,Vl2144,
10.72.145.252,,aup-int-01-a-asw-003_vl2145,switch,pfizer.com,,,,,,,,,,,,Vl2145,
10.72.146.252,,aup-int-01-a-asw-003_vl2146,switch,pfizer.com,,,,,,,,,,,,Vl2146,
10.72.147.252,,aup-int-01-a-asw-003_vl2147,switch,pfizer.com,,,,,,,,,,,,Vl2147,
10.72.148.252,,aup-int-01-a-asw-003_vl2148,switch,pfizer.com,,,,,,,,,,,,Vl2148,
10.72.149.252,,aup-int-01-a-asw-003_vl2149,switch,pfizer.com,,,,,,,,,,,,Vl2149,
10.72.150.252,,aup-int-01-a-asw-003_vl2150,switch,pfizer.com,,,,,,,,,,,,Vl2150,
10.72.151.252,,aup-int-01-a-asw-003_vl2151,switch,pfizer.com,,,,,,,,,,,,Vl2151,
10.72.152.252,,aup-int-01-a-asw-003_vl2152,switch,pfizer.com,,,,,,,,,,,,Vl2152,
10.72.153.252,,aup-int-01-a-asw-003_vl2153,switch,pfizer.com,,,,,,,,,,,,Vl2153,
10.72.154.252,,aup-int-01-a-asw-003_vl2154,switch,pfizer.com,,,,,,,,,,,,Vl2154,
10.72.155.252,,aup-int-01-a-asw-003_vl2155,switch,pfizer.com,,,,,,,,,,,,Vl2155,
172.22.134.254,,aup-int-01-a-asw-003_vl3206,switch,pfizer.com,,,,,,,,,,,,Vl3206,
10.72.255.247,,aup-int-01-a-asw-003,Loopback,pfizer.com,,,,,,,,,,,,Lo0,
3.3.3.2,,aup-int-01-a-asw-003_po31,switch,pfizer.com,,,,,,,,,,,,Po31,
10.72.253.46,,aup-int-01-a-asw-003_eth3_32,switch,pfizer.com,,,,,,,,,,,,Eth3_32,
